,Date,v,final_v,ml_v,h,final_h,ml_h,total_open,total_close,spread_open,spread_close,v_win_prob,h_win_prob
567,116,Orlando,95,425,GoldenState,131.0,145.0,217.5,217.0,-211.5,-213.0,0.3181818181818182,0.6818181818181819
568,117,Chicago,89,285,Toronto,140.0,-600.0,216.5,213.5,-9.5,-10.5,0.23255813953488372,0.7674418604651163
569,117,Washington,111,425,Indiana,116.0,-280.0,229.0,231.0,-8.5,-6.5,0.20540540540540542,0.7945945945945946
570,117,Minnesota,114,230,OklahomaCity,108.0,-105.0,216.5,218.0,-1.0,-216.5,0.371713508612874,0.6282864913871261
571,117,Cleveland,109,340,SanAntonio,120.0,-450.0,229.0,229.5,-8.5,-9.0,0.21739130434782608,0.782608695652174
572,117,Atlanta,121,350,Dallas,120.0,-360.0,229.5,231.0,-7.0,-7.5,0.22115384615384615,0.7788461538461539
573,117,Portland,112,280,NewOrleans,130.0,190.0,233.0,235.5,228.5,228.5,0.4328358208955224,0.5671641791044777
574,118,LAClippers,133,-240,Brooklyn,97.0,450.0,231.5,235.5,5.5,5.5,0.7951807228915663,0.20481927710843373
575,118,Phoenix,123,170,Atlanta,103.0,100.0,227.0,227.5,226.0,220.5,0.425531914893617,0.574468085106383
576,118,Detroit,136,-120,NewYork,87.0,150.0,221.0,218.5,2.0,1.0,0.5769230769230769,0.42307692307692313
577,118,Philadelphia,90,-180,Minnesota,112.0,155.0,221.0,224.5,4.5,4.0,0.6211096075778079,0.37889039242219213
578,118,Cleveland,116,275,Houston,115.0,-160.0,215.0,215.0,-2.5,-3.5,0.3023255813953488,0.6976744186046512
579,118,LALakers,124,140,GoldenState,109.0,200.0,232.0,235.0,-211.0,-214.0,0.5555555555555556,0.4444444444444444
580,118,Portland,106,220,Utah,123.0,-450.0,221.0,216.0,-9.5,-9.0,0.27638190954773867,0.7236180904522612
581,118,Sacramento,101,350,SanAntonio,107.0,100.0,221.0,223.0,221.0,-222.5,0.30769230769230765,0.6923076923076923
582,120,Detroit,100,-110,Atlanta,117.0,350.0,233.0,232.0,-231.0,-231.0,0.7021276595744681,0.2978723404255319
583,120,Toronto,122,-450,Brooklyn,111.0,120.0,217.5,218.5,8.0,9.0,0.6428571428571429,0.35714285714285715
584,120,Sacramento,113,135,Milwaukee,111.0,-2500.0,224.0,221.0,-14.5,-15.5,0.30678466076696165,0.6932153392330384
585,120,Chicago,98,1100,Cleveland,86.0,100.0,225.5,225.5,-0.0,-222.0,0.14285714285714285,0.8571428571428571
586,120,NewYork,106,-120,Charlotte,83.0,140.0,222.0,206.5,-207.0,1.5,0.5669291338582677,0.4330708661417323
587,120,NewOrleans,126,140,Houston,107.0,-310.0,238.5,242.0,-7.5,-7.5,0.35528596187175043,0.6447140381282496
588,120,OklahomaCity,112,250,Boston,139.0,140.0,229.0,230.5,-223.5,-226.5,0.4067796610169492,0.5932203389830509
589,120,Denver,107,140,Utah,118.0,-400.0,218.0,221.0,-7.0,-8.0,0.3424657534246575,0.6575342465753424
590,120,Indiana,88,300,Phoenix,118.0,-190.0,217.0,215.5,-3.5,-4.5,0.2761904761904762,0.7238095238095238
591,120,SanAntonio,120,160,Portland,129.0,-330.0,228.0,230.0,-6.5,-7.5,0.3338509316770186,0.6661490683229814
592,120,GoldenState,124,260,Dallas,107.0,-140.0,218.0,222.0,-1.5,-2.5,0.3225806451612903,0.6774193548387096
593,121,LAClippers,110,120,Detroit,127.0,105.0,230.5,231.5,-1.0,-222.0,0.48235294117647054,0.5176470588235293
594,122,OklahomaCity,120,120,Miami,134.0,-600.0,209.0,210.0,-10.0,-10.0,0.34653465346534656,0.6534653465346535
595,122,Washington,129,425,NewYork,92.0,525.0,227.5,229.0,-225.0,-224.0,0.5434782608695652,0.45652173913043476
596,122,Philadelphia,95,200,Atlanta,102.0,170.0,231.5,228.0,217.0,216.0,0.47368421052631576,0.5263157894736842
597,122,Memphis,95,230,NewOrleans,117.0,-160.0,233.0,232.5,-4.0,-3.5,0.3299492385786802,0.6700507614213198
598,122,SanAntonio,121,140,Houston,121.0,-550.0,236.0,236.5,-8.5,-10.0,0.32994923857868025,0.6700507614213198
599,122,Denver,105,400,Chicago,117.0,-110.0,228.5,227.0,-219.0,-0.0,0.2763157894736842,0.7236842105263157
600,122,Minnesota,110,-110,Phoenix,87.0,-105.0,222.5,221.5,1.0,219.5,0.5056053811659194,0.49439461883408076
601,122,Indiana,112,-115,GoldenState,96.0,350.0,216.0,220.5,1.0,1.0,0.7064846416382252,0.2935153583617747
602,123,Washington,124,120,Brooklyn,113.0,200.0,232.5,232.5,-229.0,231.0,0.576923076923077,0.4230769230769231
603,123,LALakers,128,-250,Portland,125.0,185.0,229.0,227.0,6.0,5.5,0.6705882352941177,0.32941176470588235
604,123,Dallas,133,-230,Charlotte,103.0,800.0,219.0,219.5,4.5,5.5,0.8624999999999999,0.13749999999999998
605,124,Boston,109,130,Detroit,112.0,105.0,212.0,231.5,-1.5,213.0,0.471264367816092,0.5287356321839081
606,124,Memphis,125,-125,NewYork,112.0,325.0,229.0,217.5,-215.5,1.5,0.7024793388429752,0.29752066115702475
607,124,Sacramento,98,110,Miami,117.0,115.0,221.5,218.5,221.0,217.5,0.5058823529411764,0.4941176470588235
608,124,LAClippers,122,-135,Minnesota,124.0,200.0,234.5,235.0,4.0,2.0,0.6328125000000001,0.3671875
609,124,Denver,113,150,OklahomaCity,140.0,-400.0,231.0,229.5,-11.5,-8.0,0.3333333333333333,0.6666666666666666
610,124,Atlanta,111,300,SanAntonio,99.0,-200.0,224.5,231.0,-4.0,-4.5,0.27272727272727276,0.7272727272727273
611,124,Phoenix,103,170,GoldenState,118.0,220.0,229.0,225.5,-216.0,-216.0,0.5423728813559322,0.4576271186440678
612,125,Dallas,107,175,Detroit,111.0,120.0,226.0,229.0,226.0,226.5,0.4444444444444445,0.5555555555555556
613,125,Chicago,118,-105,Minnesota,104.0,-125.0,226.5,210.5,1.0,-1.5,0.4796954314720812,0.5203045685279188
614,125,OklahomaCity,113,105,Philadelphia,108.0,185.0,217.0,226.0,2.0,-217.5,0.5816326530612245,0.4183673469387755
615,126,Houston,110,120,SanAntonio,106.0,145.0,226.5,225.5,-223.0,-220.0,0.5268817204301075,0.47311827956989244
616,126,Boston,108,105,Memphis,114.0,-135.0,230.5,233.0,-2.0,-2.0,0.4592085979482169,0.5407914020517831
617,126,Phoenix,109,115,Orlando,97.0,135.0,236.0,229.5,-217.5,-217.5,0.5222222222222223,0.4777777777777778
618,126,Washington,133,-105,Portland,139.0,-150.0,240.0,241.5,-1.0,-3.0,0.4605263157894737,0.5394736842105262
619,126,Indiana,129,130,Detroit,100.0,-300.0,220.5,221.0,-6.5,-7.0,0.3669724770642202,0.6330275229357799
620,127,Cleveland,115,240,Miami,113.0,-300.0,221.0,214.0,-4.0,-6.5,0.28169014084507044,0.7183098591549295
621,127,Orlando,92,240,OklahomaCity,97.0,185.0,225.0,223.0,211.5,207.5,0.45599999999999996,0.5439999999999999
622,127,Sacramento,133,135,Chicago,110.0,-120.0,225.5,224.0,-218.0,-1.5,0.4382470119521913,0.5617529880478088
623,127,Houston,126,900,Charlotte,97.0,-120.0,224.5,221.0,-1.0,-1.5,0.15492957746478875,0.8450704225352113
624,128,NewYork,92,100,Philadelphia,115.0,-1200.0,210.0,209.0,-12.5,-13.0,0.3513513513513513,0.6486486486486487
625,128,GoldenState,104,750,Miami,101.0,-135.0,212.5,216.0,-2.0,-2.0,0.16998191681735983,0.8300180831826401
626,128,Boston,109,115,Cleveland,111.0,290.0,233.0,232.0,216.5,218.5,0.6446280991735538,0.3553719008264463
627,128,Atlanta,114,750,Memphis,104.0,-125.0,233.0,234.5,-0.0,-1.5,0.17475728155339804,0.8252427184466019
628,128,Denver,96,105,Milwaukee,151.0,-800.0,226.0,224.0,-16.0,-11.5,0.3543307086614173,0.6456692913385826
629,128,Washington,131,550,Dallas,104.0,-310.0,240.0,241.5,-6.5,-7.0,0.16907216494845362,0.8309278350515464
630,128,Phoenix,133,250,Indiana,115.0,-425.0,229.0,228.5,-9.0,-8.5,0.26086956521739124,0.7391304347826086
631,129,Chicago,106,325,Brooklyn,125.0,-250.0,214.0,215.0,-5.0,-5.5,0.24778761061946902,0.752212389380531
632,129,Detroit,115,200,NewYork,106.0,120.0,224.0,226.0,224.0,-222.0,0.4230769230769231,0.576923076923077
633,129,Memphis,127,-140,SanAntonio,127.0,190.0,221.0,221.5,2.0,2.5,0.628482972136223,0.3715170278637771
634,129,Utah,120,-240,Sacramento,100.0,120.0,220.5,219.0,5.0,5.0,0.6082949308755761,0.39170506912442393
