,Unnamed: 0,id,Date,v,final_v,ml_v,h,final_h,ml_h,total_open,total_close,spread_open,spread_close,v_win_prob,h_win_prob,actual_spread,pred_spread,hw_prob,margin,spread_diff_vegas,vegas_spread_winprob,bet_size,pred_error,spread_outcome,bet_outcome
1044,1044,1044,513,Orlando,93,700,Atlanta,116,-1100,227.5,222.5,-12.5,-13.5,0.12,0.8800000000000001,23,-11.889741661376911,0.7938868680391337,-23,1.6102583386230886,0.4555,-0.010862499999999964,-11.110258338623089,-1,1
1045,1045,1045,513,SanAntonio,98,175,NewYork,102,-200,216.5,215.5,-4.5,-4.5,0.3529411764705882,0.6470588235294118,4,-8.59708908989517,0.7233768631278636,-4,-4.097089089895171,0.612,0.04629999999999997,4.597089089895171,1,1
1046,1046,1046,513,Philadelphia,94,105,Miami,106,-125,217.5,218.5,1.0,-1.5,0.4675324675324675,0.5324675324675325,12,1.4980331018062194,0.4588574268926186,-12,2.9980331018062194,0.4175,-0.030812500000000003,-13.49803310180622,-1,1
1047,1047,1047,513,Sacramento,110,290,Memphis,116,-350,230.0,227.5,-7.5,-8.5,0.2479338842975206,0.7520661157024794,6,-1.865723577435076,0.5511908467612527,-6,6.634276422564924,0.3225,-0.08068750000000001,-4.134276422564924,-1,1
1048,1048,1048,513,Toronto,102,450,Chicago,114,-600,217.5,216.5,-10.0,-10.5,0.175,0.8250000000000001,12,3.1881300542693536,0.4129857962637848,-12,13.688130054269354,0.17090000000000005,-0.16027750000000002,-15.188130054269354,-1,1
1049,1049,1049,513,Denver,114,-140,Minnesota,103,120,235.5,230.5,6.0,2.0,0.562043795620438,0.437956204379562,-11,0.6190544133975964,0.4829729672886121,11,-1.3809455866024036,0.5382,0.007555000000000012,10.380945586602405,1,1
1050,1050,1050,513,Portland,117,110,Phoenix,118,-130,231.5,237.5,-5.5,-2.0,0.4572564612326044,0.5427435387673957,1,1.0074989870671516,0.4723027058567487,-1,3.0074989870671516,0.4173,-0.030917499999999966,-2.0074989870671516,-1,1
1051,1051,1051,514,Cleveland,105,390,Washington,120,-480,226.5,226.5,-8.0,-9.0,0.1978171896316507,0.8021828103683492,15,-17.839034908996,0.8907035405804351,-15,-8.839034908995998,0.7303,0.10840750000000002,2.8390349089959983,1,1
1052,1052,1052,514,Denver,104,-400,Detroit,91,330,220.0,217.0,9.5,8.5,0.7747747747747749,0.2252252252252252,-13,10.58581337180662,0.232677948602356,13,2.085813371806619,0.4424,-0.017739999999999985,2.414186628193381,1,0
1053,1053,1053,514,Utah,109,-2000,OklahomaCity,93,1000,222.0,221.0,13.5,15.0,0.9128630705394192,0.0871369294605809,-16,20.570261890522115,0.0780021811133008,16,5.570261890522115,0.34940000000000004,-0.06656499999999996,-4.570261890522115,-1,1
1054,1054,1054,514,Orlando,97,900,Philadelphia,122,-1600,219.5,213.5,-14.0,-14.0,0.096045197740113,0.9039548022598868,25,-21.56957909607604,0.9315661433393014,-25,-7.5695790960760405,0.7004,0.09271,-3.4304209039239595,-1,0
1055,1055,1055,514,LAClippers,115,-300,Houston,122,250,227.0,225.0,12.0,7.0,0.7241379310344829,0.2758620689655172,7,8.744746758290779,0.273225745241537,-7,1.7447467582907787,0.4518,-0.012805,-15.744746758290779,-1,1
1056,1056,1056,514,Sacramento,106,140,Memphis,107,-160,227.5,224.5,-6.5,-3.5,0.4037267080745341,0.5962732919254659,1,-1.865723577435076,0.5511908467612527,-1,1.634276422564924,0.4548,-0.01123000000000004,0.865723577435076,1,0
1057,1057,1057,514,Toronto,110,950,Dallas,114,-1800,222.0,219.5,-13.0,-14.5,0.0913461538461538,0.908653846153846,4,-6.260485722743465,0.6670412136956033,-4,8.239514277256536,0.28359999999999996,-0.10111000000000003,2.260485722743465,1,0
1058,1058,1058,514,NewOrleans,122,100,GoldenState,125,-120,231.0,220.0,-4.5,-1.0,0.4782608695652174,0.5217391304347826,3,-0.5784480923905475,0.5159107728676905,-3,0.4215519076094525,0.48829999999999996,0.0,-2.4215519076094525,-1,0
1059,1059,1059,515,LALakers,122,-400,Indiana,115,330,228.0,226.5,7.0,8.5,0.7747747747747749,0.2252252252252252,-7,-6.393999031134149,0.6703809953113824,7,-14.893999031134149,0.8495,0.17098750000000004,13.393999031134149,1,1
1060,1060,1060,515,Boston,124,180,Minnesota,108,-210,230.5,233.5,-4.5,-5.0,0.3452115812917595,0.6547884187082406,-16,-6.387163978393327,0.6702103459530662,16,-1.3871639783933274,0.5384,0.007659999999999972,22.38716397839333,1,1
1061,1061,1061,515,Phoenix,140,-700,SanAntonio,103,500,223.0,225.5,10.5,10.5,0.84,0.1599999999999999,-37,1.225145834896452,0.4663323071303937,37,-9.274854165103548,0.7402,0.113605,35.77485416510355,1,1
1062,1062,1062,515,Charlotte,109,200,NewYork,118,-240,212.0,214.5,-6.0,-5.5,0.320754716981132,0.6792452830188679,9,-13.577391384396382,0.8254591090111704,-9,-8.077391384396382,0.7126,0.09911500000000005,4.577391384396382,1,1
1063,1063,1063,515,Miami,108,160,Milwaukee,122,-180,232.0,233.0,-0.0,-4.5,0.374331550802139,0.6256684491978609,14,-4.277511832751598,0.6160033718419567,-14,0.22248816724840204,0.4938,0.0,-9.722488167248402,-1,0
1064,1064,1064,515,Chicago,91,525,Brooklyn,105,-750,234.0,231.5,-11.5,-11.0,0.1534988713318284,0.8465011286681716,14,-10.700250895704364,0.7697270781446969,-14,0.2997491042956355,0.4917,0.0,-3.2997491042956355,-1,0
1065,1065,1065,516,Utah,121,-800,Sacramento,99,550,226.0,221.5,11.0,11.0,0.8524590163934427,0.1475409836065574,-22,9.755233205891642,0.2505453166263336,22,-1.244766794108358,0.5344,0.005559999999999965,12.244766794108358,1,1
1066,1066,1066,516,Houston,95,270,Atlanta,124,-330,232.0,232.0,-11.0,-7.5,0.2604482132041187,0.7395517867958814,29,-5.417980603589184,0.645669062040984,-29,2.082019396410816,0.4425,-0.017687500000000033,-23.582019396410814,-1,1
1067,1067,1067,516,Memphis,101,145,GoldenState,113,-165,230.0,228.0,-5.0,-3.5,0.3959656331714605,0.6040343668285393,12,-9.476481107888802,0.7432992525819588,-12,-5.976481107888802,0.6609,0.07197250000000004,-2.5235188921111984,-1,0
1068,1068,1068,516,Phoenix,123,-130,SanAntonio,121,110,226.5,220.0,9.0,2.0,0.5427435387673957,0.4572564612326044,-2,1.225145834896452,0.4663323071303937,2,-0.7748541651035481,0.5215000000000001,0.0,0.7748541651035481,1,0
1069,1069,1069,516,Cleveland,109,900,Brooklyn,123,-1600,224.5,225.5,-12.5,-13.0,0.096045197740113,0.9039548022598868,14,-16.438637111216533,0.8715396086839999,-14,-3.438637111216533,0.5944,0.03706000000000002,2.438637111216533,1,1
1070,1070,1070,516,Miami,120,-170,Detroit,107,150,217.0,212.0,6.0,3.0,0.6115107913669064,0.3884892086330935,-13,7.434908147750407,0.3040623049850279,13,4.434908147750407,0.379,-0.05102499999999998,5.565091852249593,1,0
1071,1071,1071,516,LAClippers,112,-360,OklahomaCity,117,300,221.5,220.5,8.5,8.0,0.7578947368421054,0.2421052631578947,5,14.687534865995255,0.1555459774418652,-5,6.687534865995255,0.32120000000000004,-0.08136999999999997,-19.687534865995254,-1,1
1072,1072,1072,516,Dallas,121,-280,Minnesota,136,240,230.0,230.0,7.5,7.0,0.7147147147147147,0.2852852852852853,15,0.2033216506730442,0.4944061417283903,-15,-6.796678349326956,0.6815,0.08278749999999996,-15.203321650673043,-1,0
1073,1073,1073,516,Orlando,117,220,Philadelphia,128,-260,222.5,214.0,-8.0,-6.5,0.3020134228187919,0.6979865771812079,11,-21.56957909607604,0.9315661433393014,-11,-15.06957909607604,0.8523000000000001,0.17245750000000004,10.56957909607604,1,1
1074,1074,1074,516,LALakers,110,-450,NewOrleans,98,375,223.5,222.0,11.0,9.5,0.7953488372093024,0.2046511627906976,-12,-11.016926964131162,0.7763093613839851,12,-20.516926964131162,0.9229,0.2095225,23.016926964131162,1,1
1075,1075,1075,516,Denver,116,340,Portland,132,-410,230.5,228.5,-8.5,-8.5,0.2203975799481417,0.7796024200518582,16,-2.2399293045758526,0.5613835256809723,-16,6.260070695424147,0.3319,-0.07575249999999997,-13.760070695424147,-1,1
1076,1076,1076,516,Milwaukee,112,-300,Chicago,118,250,224.5,224.5,2.5,7.0,0.7241379310344829,0.2758620689655172,6,8.639119110858045,0.2756539815757425,-6,1.6391191108580454,0.4547,-0.01128249999999999,-14.639119110858045,-1,1
1077,1077,1077,516,Charlotte,110,235,Washington,115,-275,228.5,230.5,-6.5,-7.0,0.2892960462873674,0.7107039537126325,5,-10.737072021997491,0.7704979468671205,-5,-3.7370720219974913,0.6024,0.04126000000000003,5.737072021997491,1,1
1078,1078,1078,516,Boston,92,650,NewYork,96,-1000,215.5,211.0,-8.5,-12.0,0.127906976744186,0.8720930232558138,4,-12.082837907936272,0.797661986740416,-4,-0.08283790793627155,0.5023,0.0,8.082837907936272,1,0
1079,1079,1079,516,Indiana,125,-240,Toronto,113,200,229.5,226.5,7.0,6.0,0.6792452830188679,0.320754716981132,-12,-0.2373204569953293,0.5065291681039664,12,-6.237320456995329,0.6675,0.07543750000000003,12.237320456995329,1,1
1080,1080,1080,518,Charlotte,117,110,Indiana,144,-130,229.0,226.0,-3.5,-1.5,0.4572564612326044,0.5427435387673957,27,-9.736579995599104,0.7490452369939956,-27,-8.236579995599104,0.7162999999999999,0.10105749999999995,-17.263420004400896,-1,0
1081,1081,1081,518,Washington,100,110,Boston,118,-130,234.5,233.0,-1.5,-2.0,0.4572564612326044,0.5427435387673957,18,4.2529268850820685,0.384644400524376,-18,6.2529268850820685,0.33209999999999995,-0.0756475,-22.25292688508207,-1,1
