,Unnamed: 0,Date,v,final_v,ml_v,h,final_h,ml_h,total_open,total_close,spread_open,spread_close,gameid,margin,vegas_home_win_prob,vegas_away_win_prob,home_rating,away_rating,home_win_prob,away_win_prob,pred_spread,spread_diff_vegas,vegas_spread_winprob,bet_size,bet_team,pred_error,spread_outcome,home_win_ats,pred_correct,wealth
1053,1053,318,Miami,116,190,OklahomaCity,107,-240,210.5,209.5,-4.5,-5.5,M116O107,9,0.7059,0.3448,1565.6663969776218,1490.027094774891,0.6932,0.30679999999999996,-5.058546507240384,0.4414534927596163,0.48740000000000006,0.0,,14.058546507240383,1,1,0.0,63.54730100784353
1054,1054,318,GoldenState,105,-150,SanAntonio,111,130,225.5,226.5,3.0,3.0,G105S111,-6,0.4348,0.6,1589.8219153716452,1655.0819726040709,0.5011,0.4989,-0.026426527413369576,-3.0264265274133697,0.5856,-0.03244000000000004,,-5.97357347258663,-1,-1,0.0,65.42136868483848
1055,1055,318,NewOrleans,129,175,Dallas,125,-210,230.0,232.5,-3.5,-5.0,N129D125,4,0.6774,0.3636,1415.6017834768409,1437.0722114778705,0.5637,0.4363,-1.5903418571060846,3.4096581428939157,0.40380000000000005,0.03800499999999997,NewOrleans,5.590341857106084,1,1,0.0,67.68167697289965
1056,1056,318,Chicago,116,120,Phoenix,101,-140,229.0,227.0,-2.5,-2.5,C116P101,15,0.5833,0.4545,1354.003475228576,1349.6830060246393,0.5998,0.4002,-2.5114453287120244,-0.011445328712024416,0.5003,0.0,,17.511445328712025,1,1,1.0,67.68167697289965
1057,1057,318,Indiana,98,175,Portland,106,-210,213.5,211.0,-2.5,-5.0,I98P106,-8,0.6774,0.3636,1593.8982910859186,1563.1045069284921,0.6358,0.36419999999999997,-3.45692086276523,1.5430791372347699,0.45609999999999995,0.01054750000000002,Indiana,-4.54307913723477,-1,-1,1.0,66.967804485028
1058,1058,319,Philadelphia,118,100,Charlotte,114,-120,223.5,223.0,1.5,-1.0,P118C114,4,0.5455,0.5,1446.8897684922358,1614.9700145756597,0.3572,0.6428,3.6457230744079943,4.645723074407995,0.37,0.05574999999999998,Philadelphia,0.35427692559200574,1,1,0.0,70.36185457597374
1059,1059,319,Houston,121,-425,Atlanta,105,325,232.5,233.0,8.0,8.0,H121A105,16,0.2353,0.8095,1383.7915875775075,1637.8261937113489,0.253,0.747,6.7155216476371935,-1.2844783523628065,0.5366,-0.00671499999999996,,9.284478352362807,1,1,1.0,69.88937472249607
1060,1060,319,GoldenState,117,-300,Minnesota,107,240,230.5,230.0,6.5,6.5,G117M107,10,0.2941,0.75,1471.4659758586374,1645.1032698366998,0.3499,0.6501,3.8441890706450863,-2.6558109293549137,0.5751999999999999,-0.026980000000000004,,6.155810929354914,1,1,1.0,68.00375939248313
1061,1061,319,LALakers,101,550,Milwaukee,115,-800,236.5,228.5,-13.5,-11.5,L101M115,-14,0.8889,0.1538,1668.3389990193325,1427.5763861838818,0.8539,0.1461,-10.955807601266097,0.5441923987339035,0.48450000000000004,0.0,,-3.0441923987339035,-1,-1,1.0,68.00375939248313
1062,1062,319,Brooklyn,123,135,Sacramento,121,-155,230.5,231.0,-2.5,-3.5,B123S121,2,0.6078,0.4255,1473.7230792992825,1489.4108207356421,0.5719,0.42810000000000004,-1.7968663772728715,1.7031336227271285,0.4516,0.012910000000000022,Brooklyn,3.7968663772728712,1,1,0.0,68.8018762413531
